CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
274781;12/01/2023;QWS 8608;BEIRA MINHO;201751;;DIESEL;107,33;32,2;6,89;707,30;R$ 6,59;105072,00;978,96;;;;;;;;;;;;
Ajuste M.;13/01/2023;BPQ 3I53;;97233;;DIESEL;32,30;;;R$ 0,00;R$ 0,00;-191025,00;-5914,09;;;;;;;;;;;;
219440;13/01/2023;BPQ 3I53;ULTRAMARINO;97489;;DIESEL;29,55;2,96;6,32;R$ 183,80;R$ 6,22;256,00;8,66;;;;;;;;;;;;
157075;13/01/2023;EWJ 1D79;TATITA FERNÃO DIAS;648903;;DIESEL;117,39;;6,29;738,38;R$ 6,29;417,00;3,55;;;;;;;;;;;;
152115;13/01/2023;HGJ 5319;TATITA FERNÃO DIAS;122231;;DIESEL;111,13;;6,29;R$ 699,01;R$ 6,29;-462208,00;-4159,16;;;;;;;;;;;;
275725;13/01/2023;QMQ 5351;BEIRA MINHO;333877;;DIESEL;192,12;57,64;6,89;1266,07;R$ 6,59;19837,00;103,25;;;;;;;;;;;;
157144;13/01/2023;QWS 8608;TATITA FERNÃO DIAS;201946;;DIESEL;43,29;;6,29;R$ 272,29;R$ 6,29;104457,00;2413,01;;;;;;;;;;;;
Ajuste M.;13/01/2023;RMF 8H75;;116363;;GASOLINA;22,65;;;R$ 0,00;R$ 0,00;19386,00;855,89;;;;;;;;;;;;
543100;14/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;584571;;DIESEL;36,90;;6,29;R$ 232,10;R$ 6,29;305680,00;8284,01;;;;;;;;;;;;
157295;14/01/2023;NYF 1166;TATITA FERNÃO DIAS;697998;;DIESEL;126,16;;6,29;793,55;R$ 6,29;;;;;;;;;;;;;;
157218;14/01/2023;QQM 5087;TATITA FERNÃO DIAS;224900;;DIESEL;60,42;;6,29;380,04;R$ 6,29;151696,00;2510,69;;;;;;;;;;;;
Ajuste M.;15/01/2023;EZT 5167;;216362;;GASOLINA;41,00;;;R$ 0,00;R$ 0,00;#REF!;#REF!;;;;;;;;;;;;
538796;15/01/2023;NYF 1166;AUTO POSTO SERRA SUL;698554;;DIESEL;189,39;;6,29;1191,26;R$ 6,29;582191,00;3074,03;;;;;;;;;;;;
Ajuste M.;15/01/2023;PZA 3995;;279275;;GASOLINA;26,00;;;R$ 0,00;R$ 0,00;#REF!;#REF!;;;;;;;;;;;;
262566;15/01/2023;RMF 8H75;POSTO ZÉ RAMOS;116649;;GASOLINA;21,75;;4,99;R$ 108,53;R$ 4,99;-162626,00;-7477,40;;;;;;;;;;;;
549434;16/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;584944;;DIESEL;101,20;;6,09;616,31;R$ 6,09;219455,00;2168,53;;;;;;;;;;;;
277730;16/01/2023;EWJ 1D79;BEIRA MINHO;649456;;DIESEL;125,90;37,77;6,89;829,68;R$ 6,59;284284,00;2258,01;;;;;;;;;;;;
32987;16/01/2023;FMZ 8I54;ULTRAMARINO;172633;;DIESEL;611,84;61,12;6,32;3805,72;R$ 6,22;99429,00;162,51;;;;;;;;;;;;
32787;16/01/2023;FSR 0H16;ULTRAMARINO;73721;;GASOLINA;39,80;;4,87;193,83;R$ 4,87;-568294,00;-14278,38;;;;;;;;;;;;
220432;16/01/2023;FSR 0H16;ULTRAMARINO;73888;;GASOLINA;13,97;;4,87;68,03;R$ 4,87;-98745,00;-7068,36;;;;;;;;;;;;
157548;16/01/2023;FZG 5A23;TATITA FERNÃO DIAS;106970;;DIESEL;204,77;;6,29;1288,00;R$ 6,29;;;;;;;;;;;;;;
262726;16/01/2023;HOB 1G50;POSTO ZÉ RAMOS;643408;;DIESEL;151,83;;6,29;955,01;R$ 6,29;278236,00;1832,55;;;;;;;;;;;;
Ajuste M.;16/01/2023;PVD 2450;;585782;;DIESEL;146,21;;;R$ 0,00;R$ 0,00;-265721,00;-1817,39;;;;;;;;;;;;
Ajuste M.;16/01/2023;PVD 2450;;586457;;DIESEL;146,30;;;R$ 0,00;R$ 0,00;675,00;4,61;;;;;;;;;;;;
Ajuste M.;16/01/2023;PVD 2450;;587137;;DIESEL;142,12;;;R$ 0,00;R$ 0,00;680,00;4,78;;;;;;;;;;;;
Ajuste M.;16/01/2023;PVD 2450;;587563;;DIESEL;98,52;;;R$ 0,00;R$ 0,00;426,00;4,32;;;;;;;;;;;;
796273;16/01/2023;PVD 2450;AUTO POSTO SACI;587832;;DIESEL;61,28;;6,39;R$ 391,59;R$ 6,39;269,00;4,39;;;;;;;;;;;;
